dag,algorithm,makespan,energy,runtime_sec,cost,reward,w_q,w_d
Inspiral_100.gml,GA,160.0,1546.0,0.238607,933.0,0.001071811360051649,,
Inspiral_1000.gml,GA,1380.0,16444.0,1.660932,9602.0,0.00010414496978711258,,
Inspiral_30.gml,GA,60.0,428.0,0.056583,274.0,0.0036496350231765146,,
Inspiral_50.gml,GA,90.0,734.0,0.086988,457.0,0.0021881838026516767,,
Inspiral_100.gml,PSO,180.0,1480.0,0.270199,920.0,0.001086956520557656,,
Inspiral_1000.gml,PSO,1340.0,16642.0,2.158139,9661.0,0.00010350895351376576,,
Inspiral_30.gml,PSO,60.0,420.0,0.118317,270.0,0.0037037036899862825,,
Inspiral_50.gml,PSO,90.0,734.0,0.168202,457.0,0.0021881838026516767,,
Inspiral_100.gml,HEFT,139.99999999999997,1670.0000000000014,0.001,975.0000000000007,0.0010256410245890854,,
Inspiral_1000.gml,HEFT,1250.000000000001,17000.000000000062,0.006988,9750.000000000033,0.00010256410255358282,,
Inspiral_30.gml,HEFT,60.00000000000001,468.0000000000002,0.0,294.0000000000001,0.0034013605326484323,,
Inspiral_50.gml,HEFT,80.0,836.0000000000006,0.0,498.0000000000003,0.002008032124481862,,
Inspiral_100.gml,MOHEFT,140.0,1660.0,0.001,970.0,0.0010309278339887343,,
Inspiral_1000.gml,MOHEFT,1260.0,16976.0,0.007012,9748.0,0.00010258514566038314,,
Inspiral_30.gml,MOHEFT,80.0,424.0,0.0,292.0,0.003424657522518296,,
Inspiral_50.gml,MOHEFT,100.0,788.0,0.0,494.0,0.0020242914938779525,,
Inspiral_100.gml,QIPSO,150.0,1698.0,3.530806,999.0,0.001001000999998998,,
Inspiral_1000.gml,QIPSO,1300.0,16964.0,33.879664,9782.0,0.00010222858310138739,,
Inspiral_30.gml,QIPSO,80.0,530.0,1.175314,345.0,0.002898550716236085,,
Inspiral_50.gml,QIPSO,100.0,850.0,1.777509,525.0,0.0019047619011337868,,
Inspiral_100.gml,DQN,330.0,1572.0,1.037596,1116.0,0.0008960573468673321,,
Inspiral_1000.gml,DQN,8290.0,20354.0,0.291752,18467.0,5.4150647097300557e-05,,
Inspiral_30.gml,DQN,120.0,528.0,0.088078,384.0,0.002604166659884983,,
Inspiral_50.gml,DQN,390.0,904.0,0.116822,842.0,0.0011876484546464983,,
Inspiral_100.gml,HCOCP,200.0,1542.0,0.001512,971.0,0.001029866116344113,,
Inspiral_1000.gml,HCOCP,1500.0,16584.0,0.017087,9792.0,0.00010212418299610659,,
Inspiral_30.gml,HCOCP,60.0,468.0,0.001,294.0,0.0034013605326484336,,
Inspiral_50.gml,HCOCP,100.0,772.0,0.0,486.0,0.002057613164490508,,
Inspiral_100.gml,QERLO,246.51,1630.44,2.194021,1061.73,0.000945,0.464,0.536
Inspiral_1000.gml,QERLO,3558.74,18059.44,23.026104,12588.46,8.7e-05,0.677,0.323
Inspiral_30.gml,QERLO,101.47,528.93,0.591875,365.93,0.002741,0.463,0.537
Inspiral_50.gml,QERLO,242.69,876.57,0.960407,680.97,0.001552,0.508,0.492
